Year,Month,AGX,Arlington A,Arlington B,Arlington DB,DistBATT,DSM_1,Four Corners 4,Four Corners 5,Griffith A,Griffith B,Griffith DB,Incremental_DG,Microgrid - FUTURE,Microgrid Bucket 2,New Solar,PVS Solar 5 HR,PVS Solar 5 HR ITC,Redhawk 1 A,Redhawk 1 B,Redhawk 1 DB,Redhawk 2 A,Redhawk 2 B,Redhawk 2 DB,Short-Term Purch,South Point A,South Point B,South Point DB,West Phoenix CC5 A,West Phoenix CC5 B,West Phoenix CC5 DB,,,,
2029,8,102.7,141.25,141.25,65,97,645,283.4999979,283.4999979,133.1877729,133.1877729,112,1413,0.266,6.6,0,0,0,121.4148,121.4148,22,121.4148,121.4148,22,0,178.9234241,178.9234241,19,131.2656,131.2656,12,,,,
2029,9,102.7,141.25,141.25,65,97,645,283.4999979,283.4999979,133.1877729,133.1877729,112,1413,0.266,6.6,0,0,0,121.4148,121.4148,22,121.4148,121.4148,22,0,178.9234241,178.9234241,19,131.2656,131.2656,12,,,,
2029,10,102.7,141.25,141.25,65,97,645,283.4999979,283.4999979,133.1877729,133.1877729,112,1413,0.266,6.6,0,0,0,121.4148,121.4148,22,121.4148,121.4148,22,0,178.9234241,178.9234241,19,131.2656,131.2656,12,,,,
2029,11,102.7,141.25,141.25,65,97,645,283.4999979,283.4999979,133.1877729,133.1877729,112,1413,0.266,6.6,0,0,0,121.4148,121.4148,22,121.4148,121.4148,22,0,178.9234241,178.9234241,19,131.2656,131.2656,12,,,,
2029,12,102.7,141.25,141.25,65,97,645,283.4999979,283.4999979,133.1877729,133.1877729,112,1413,0.266,6.6,0,0,0,121.4148,121.4148,22,121.4148,121.4148,22,0,178.9234241,178.9234241,19,131.2656,131.2656,12,,,,
2030,1,102.7,141.25,141.25,65,126,765,283.4999979,283.4999979,133.1877729,133.1877729,112,1560,0.4,10.9,0,0,0,121.4148,121.4148,22,121.4148,121.4148,22,0,178.9234241,178.9234241,19,131.2656,131.2656,12,,,,
2030,2,102.7,141.25,141.25,65,126,765,283.4999979,283.4999979,133.1877729,133.1877729,112,1560,0.4,10.9,0,0,0,121.4148,121.4148,22,121.4148,121.4148,22,0,178.9234241,178.9234241,19,131.2656,131.2656,12,,,,
2030,3,102.7,141.25,141.25,65,126,765,283.4999979,283.4999979,133.1877729,133.1877729,112,1560,0.4,10.9,0,0,0,121.4148,121.4148,22,121.4148,121.4148,22,0,178.9234241,178.9234241,19,131.2656,131.2656,12,,,,
2030,4,102.7,141.25,141.25,65,126,765,283.4999979,283.4999979,133.1877729,133.1877729,112,1560,0.4,10.9,0,0,0,121.4148,121.4148,22,121.4148,121.4148,22,0,178.9234241,178.9234241,19,131.2656,131.2656,12,,,,
2030,5,102.7,141.25,141.25,65,126,765,283.4999979,283.4999979,133.1877729,133.1877729,112,1560,0.4,10.9,0,0,0,121.4148,121.4148,22,121.4148,121.4148,22,0,178.9234241,178.9234241,19,131.2656,131.2656,12,,,,
