Year,ARV_CCH_1,ARV_CCH_2,Cholla 1,Cholla 3,DESERT SUN CT 1,DESERT SUN CT 2,Future LM6000 CT 1,Future LM6000 CT 10,Future LM6000 CT 11,Future LM6000 CT 12,Future LM6000 CT 2,Future LM6000 CT 3,Future LM6000 CT 4,Future LM6000 CT 5,Future LM6000 CT 6,Future LM6000 CT 7,Future LM6000 CT 8,Future LM6000 CT 9,Ocotillo CT 1,Ocotillo CT 2,Ocotillo CT 3,Ocotillo CT 4,Ocotillo CT 5,Ocotillo CT 6,Ocotillo CT 7,Redhawk 1 A,Redhawk 1 B,Redhawk 1 DB,Redhawk 2 A,Redhawk 2 B,Redhawk  CT1,Redhawk  CT2,Redhawk  CT3,Redhawk  CT4,Redhawk  CT5,Redhawk  CT6,Redhawk  CT7,Redhawk  CT8,Redhawk Generating Station (ProEnergy Services) BTA,Saguaro CT 1,Saguaro CT 2,Saguaro CT 3,Sundance CT 1,Sundance CT 10,Sundance CT 2,Sundance CT 3,Sundance CT 4,Sundance CT 5,Sundance CT 6,Sundance CT 7,Sundance CT 8,Sundance CT 9,Sundance CT11,Sundance CT12,West Phoenix CC1,West Phoenix CC2,West Phoenix CC3,West Phoenix CC4,West Phoenix CC5 A,West Phoenix CC5 B,West Phoenix CT 1,West Phoenix CT 2,Yucca CT 1,Yucca CT 2,Yucca CT 3,Yucca CT 4,Yucca CT 5,Yucca CT 6
2036,"1,722.00","1,722.00",54.7,88.15,"1,510.75","1,510.75",473.34,462.07,462.07,462.07,473.34,473.34,473.34,473.34,473.34,473.34,473.34,462.07,238.68,238.68,991.03,991.03,991.03,991.03,991.03,887.52,887.52,75.68,887.52,887.52,526.87,526.87,526.87,526.87,526.87,526.87,526.87,526.87,"3,854.34",238.68,238.68,48.57,428.67,428.67,428.67,428.67,428.67,428.67,428.67,428.67,428.67,428.67,507.15,507.15,152.43,152.43,152.43,427.89,"1,424.34","1,424.34",238.68,238.68,241.82,241.82,66.65,220.7,502.91,502.91
2037,"1,763.00","1,763.00",56.07,90.35,"1,549.57","1,549.57",485.1,473.55,473.55,473.55,485.1,485.1,485.1,485.1,485.1,485.1,485.1,473.55,244.65,244.65,"1,015.80","1,015.80","1,015.80","1,015.80","1,015.80",910.74,910.74,77.66,910.74,910.74,539.96,539.96,539.96,539.96,539.96,539.96,539.96,539.96,"3,950.10",244.65,244.65,49.78,439.39,439.39,439.39,439.39,439.39,439.39,439.39,439.39,439.39,439.39,519.75,519.75,156.24,156.24,156.24,438.59,"1,461.24","1,461.24",244.65,244.65,247.87,247.87,68.32,226.22,515.48,515.48
2038,"1,809.13","1,809.13",57.47,92.61,"1,588.39","1,588.39",497.28,485.44,485.44,485.44,497.28,497.28,497.28,497.28,497.28,497.28,497.28,485.44,250.77,250.77,"1,041.20","1,041.20","1,041.20","1,041.20","1,041.20",933.96,933.96,79.64,933.96,933.96,553.52,553.52,553.52,553.52,553.52,553.52,553.52,553.52,"4,049.28",250.77,250.77,51.03,450.38,450.38,450.38,450.38,450.38,450.38,450.38,450.38,450.38,450.38,532.8,532.8,160.15,160.15,160.15,449.56,"1,495.68","1,495.68",250.77,250.77,254.06,254.06,70.03,231.87,528.37,528.37
2039,"1,855.25","1,855.25",58.9,94.92,"1,627.21","1,627.21",509.46,497.33,497.33,497.33,509.46,509.46,509.46,509.46,509.46,509.46,509.46,497.33,257.04,257.04,"1,067.23","1,067.23","1,067.23","1,067.23","1,067.23",957.18,957.18,81.62,957.18,957.18,567.08,567.08,567.08,567.08,567.08,567.08,567.08,567.08,"4,148.46",257.04,257.04,52.3,461.64,461.64,461.64,461.64,461.64,461.64,461.64,461.64,461.64,461.64,545.85,545.85,164.15,164.15,164.15,460.79,"1,535.04","1,535.04",257.04,257.04,260.41,260.41,71.78,237.67,541.58,541.58
2040,"1,901.38","1,901.38",60.38,97.3,"1,669.26","1,669.26",522.48,510.04,510.04,510.04,522.48,522.48,522.48,522.48,522.48,522.48,522.48,510.04,263.46,263.46,"1,093.91","1,093.91","1,093.91","1,093.91","1,093.91",980.4,980.4,83.6,980.4,980.4,581.57,581.57,581.57,581.57,581.57,581.57,581.57,581.57,"4,254.48",263.46,263.46,53.61,473.18,473.18,473.18,473.18,473.18,473.18,473.18,473.18,473.18,473.18,559.8,559.8,168.26,168.26,168.26,472.31,"1,571.94","1,571.94",263.46,263.46,266.92,266.92,73.57,243.61,555.12,555.12
2041,"1,947.50","1,947.50",61.89,99.73,"1,711.32","1,711.32",535.5,522.75,522.75,522.75,535.5,535.5,535.5,535.5,535.5,535.5,535.5,522.75,270.05,270.05,"1,121.26","1,121.26","1,121.26","1,121.26","1,121.26","1,003.62","1,003.62",85.58,"1,003.62","1,003.62",596.06,596.06,596.06,596.06,596.06,596.06,596.06,596.06,"4,360.50",270.05,270.05,54.95,485.01,485.01,485.01,485.01,485.01,485.01,485.01,485.01,485.01,485.01,573.75,573.75,172.46,172.46,172.46,484.12,"1,611.30","1,611.30",270.05,270.05,273.6,273.6,75.41,249.7,568.99,568.99
2042,"1,993.63","1,993.63",63.43,102.22,"1,753.37","1,753.37",548.94,535.87,535.87,535.87,548.94,548.94,548.94,548.94,548.94,548.94,548.94,535.87,276.8,276.8,"1,149.29","1,149.29","1,149.29","1,149.29","1,149.29","1,029.42","1,029.42",87.78,"1,029.42","1,029.42",611.02,611.02,611.02,611.02,611.02,611.02,611.02,611.02,"4,469.94",276.8,276.8,56.32,497.13,497.13,497.13,497.13,497.13,497.13,497.13,497.13,497.13,497.13,588.15,588.15,176.77,176.77,176.77,496.23,"1,653.12","1,653.12",276.8,276.8,280.44,280.44,77.3,255.94,583.22,583.22
2043,"2,044.88","2,044.88",65.02,104.78,"1,798.66","1,798.66",562.38,548.99,548.99,548.99,562.38,562.38,562.38,562.38,562.38,562.38,562.38,548.99,283.72,283.72,"1,178.02","1,178.02","1,178.02","1,178.02","1,178.02","1,055.22","1,055.22",89.98,"1,055.22","1,055.22",625.98,625.98,625.98,625.98,625.98,625.98,625.98,625.98,"4,579.38",283.72,283.72,57.73,509.56,509.56,509.56,509.56,509.56,509.56,509.56,509.56,509.56,509.56,602.55,602.55,181.19,181.19,181.19,508.63,"1,692.48","1,692.48",283.72,283.72,287.45,287.45,79.23,262.34,597.8,597.8
2044,"2,096.13","2,096.13",66.64,107.4,"1,840.72","1,840.72",562.38,548.99,548.99,548.99,562.38,562.38,562.38,562.38,562.38,562.38,562.38,548.99,290.81,290.81,"1,207.47","1,207.47","1,207.47","1,207.47","1,207.47","1,055.22","1,055.22",89.98,"1,055.22","1,055.22",625.98,625.98,625.98,625.98,625.98,625.98,625.98,625.98,"4,579.38",290.81,290.81,59.17,522.3,522.3,522.3,522.3,522.3,522.3,522.3,522.3,522.3,522.3,602.55,602.55,185.72,185.72,185.72,521.35,"1,692.48","1,692.48",290.81,290.81,294.64,294.64,81.21,268.9,612.74,612.74
2045,"2,096.13","2,096.13",68.31,110.08,"1,840.72","1,840.72",562.38,548.99,548.99,548.99,562.38,562.38,562.38,562.38,562.38,562.38,562.38,548.99,298.08,298.08,"1,237.66","1,237.66","1,237.66","1,237.66","1,237.66","1,055.22","1,055.22",89.98,"1,055.22","1,055.22",625.98,625.98,625.98,625.98,625.98,625.98,625.98,625.98,"4,579.38",298.08,298.08,60.65,535.36,535.36,535.36,535.36,535.36,535.36,535.36,535.36,535.36,535.36,602.55,602.55,190.37,190.37,190.37,534.38,"1,692.48","1,692.48",298.08,298.08,302,302,83.24,275.62,628.06,628.06
2046,"2,096.13","2,096.13",70.02,112.84,"1,840.72","1,840.72",562.38,548.99,548.99,548.99,562.38,562.38,562.38,562.38,562.38,562.38,562.38,548.99,305.54,305.54,"1,268.60","1,268.60","1,268.60","1,268.60","1,268.60","1,055.22","1,055.22",89.98,"1,055.22","1,055.22",625.98,625.98,625.98,625.98,625.98,625.98,625.98,625.98,"4,579.38",305.54,305.54,62.17,548.74,548.74,548.74,548.74,548.74,548.74,548.74,548.74,548.74,548.74,602.55,602.55,195.13,195.13,195.13,547.74,"1,692.48","1,692.48",305.54,305.54,309.55,309.55,85.32,282.51,643.76,643.76
2047,"2,096.13","2,096.13",71.77,115.66,"1,840.72","1,840.72",562.38,548.99,548.99,548.99,562.38,562.38,562.38,562.38,562.38,562.38,562.38,548.99,313.17,313.17,"1,300.32","1,300.32","1,300.32","1,300.32","1,300.32","1,055.22","1,055.22",89.98,"1,055.22","1,055.22",625.98,625.98,625.98,625.98,625.98,625.98,625.98,625.98,"4,579.38",313.17,313.17,63.72,562.46,562.46,562.46,562.46,562.46,562.46,562.46,562.46,562.46,562.46,602.55,602.55,200,200,200,561.43,"1,692.48","1,692.48",313.17,313.17,317.29,317.29,87.46,289.58,659.86,659.86
2048,"2,096.13","2,096.13",73.56,118.55,"1,840.72","1,840.72",562.38,548.99,548.99,548.99,562.38,562.38,562.38,562.38,562.38,562.38,562.38,548.99,321,321,"1,332.82","1,332.82","1,332.82","1,332.82","1,332.82","1,055.22","1,055.22",89.98,"1,055.22","1,055.22",625.98,625.98,625.98,625.98,625.98,625.98,625.98,625.98,"4,579.38",321,321,65.32,576.52,576.52,576.52,576.52,576.52,576.52,576.52,576.52,576.52,576.52,602.55,602.55,205,205,205,575.47,"1,692.48","1,692.48",321,321,325.22,325.22,89.64,296.82,676.35,676.35
2049,"2,096.13","2,096.13",75.4,121.51,"1,840.72","1,840.72",562.38,548.99,548.99,548.99,562.38,562.38,562.38,562.38,562.38,562.38,562.38,548.99,329.03,329.03,"1,366.14","1,366.14","1,366.14","1,366.14","1,366.14","1,055.22","1,055.22",89.98,"1,055.22","1,055.22",625.98,625.98,625.98,625.98,625.98,625.98,625.98,625.98,"4,579.38",329.03,329.03,66.95,590.93,590.93,590.93,590.93,590.93,590.93,590.93,590.93,590.93,590.93,602.55,602.55,210.13,210.13,210.13,589.86,"1,692.48","1,692.48",329.03,329.03,333.35,333.35,91.88,304.24,693.26,693.26
2050,"2,096.13","2,096.13",77.29,124.55,"1,840.72","1,840.72",562.38,548.99,548.99,548.99,562.38,562.38,562.38,562.38,562.38,562.38,562.38,548.99,337.26,337.26,"1,400.30","1,400.30","1,400.30","1,400.30","1,400.30","1,055.22","1,055.22",89.98,"1,055.22","1,055.22",625.98,625.98,625.98,625.98,625.98,625.98,625.98,625.98,"4,579.38",337.26,337.26,68.62,605.71,605.71,605.71,605.71,605.71,605.71,605.71,605.71,605.71,605.71,602.55,602.55,215.38,215.38,215.38,604.6,"1,692.48","1,692.48",337.26,337.26,341.69,341.69,94.18,311.84,710.59,710.59
2051,"2,096.13","2,096.13",79.22,127.66,"1,840.72","1,840.72",562.38,548.99,548.99,548.99,562.38,562.38,562.38,562.38,562.38,562.38,562.38,548.99,345.69,345.69,"1,435.30","1,435.30","1,435.30","1,435.30","1,435.30","1,055.22","1,055.22",89.98,"1,055.22","1,055.22",625.98,625.98,625.98,625.98,625.98,625.98,625.98,625.98,"4,579.38",345.69,345.69,70.34,620.85,620.85,620.85,620.85,620.85,620.85,620.85,620.85,620.85,620.85,602.55,602.55,220.77,220.77,220.77,619.72,"1,692.48","1,692.48",345.69,345.69,350.23,350.23,96.53,319.64,728.36,728.36
2052,"2,096.13","2,096.13",81.2,130.85,"1,840.72","1,840.72",562.38,548.99,548.99,548.99,562.38,562.38,562.38,562.38,562.38,562.38,562.38,548.99,354.33,354.33,"1,471.19","1,471.19","1,471.19","1,471.19","1,471.19","1,055.22","1,055.22",89.98,"1,055.22","1,055.22",625.98,625.98,625.98,625.98,625.98,625.98,625.98,625.98,"4,579.38",354.33,354.33,72.1,636.37,636.37,636.37,636.37,636.37,636.37,636.37,636.37,636.37,636.37,602.55,602.55,226.29,226.29,226.29,635.21,"1,692.48","1,692.48",354.33,354.33,358.98,358.98,98.95,327.63,746.57,746.57
2053,"2,096.13","2,096.13",83.23,134.13,"1,840.72","1,840.72",562.38,548.99,548.99,548.99,562.38,562.38,562.38,562.38,562.38,562.38,562.38,548.99,363.19,363.19,"1,507.97","1,507.97","1,507.97","1,507.97","1,507.97","1,055.22","1,055.22",89.98,"1,055.22","1,055.22",625.98,625.98,625.98,625.98,625.98,625.98,625.98,625.98,"4,579.38",363.19,363.19,73.9,652.28,652.28,652.28,652.28,652.28,652.28,652.28,652.28,652.28,652.28,602.55,602.55,231.94,231.94,231.94,651.09,"1,692.48","1,692.48",363.19,363.19,367.96,367.96,101.42,335.82,765.23,765.23
2054,"2,096.13","2,096.13",87.44,140.92,"1,840.72","1,840.72",562.38,548.99,548.99,548.99,562.38,562.38,562.38,562.38,562.38,562.38,562.38,548.99,381.57,381.57,"1,584.31","1,584.31","1,584.31","1,584.31","1,584.31","1,055.22","1,055.22",89.98,"1,055.22","1,055.22",625.98,625.98,625.98,625.98,625.98,625.98,625.98,625.98,"4,579.38",381.57,381.57,77.64,685.3,685.3,685.3,685.3,685.3,685.3,685.3,685.3,685.3,685.3,602.55,602.55,243.69,243.69,243.69,684.05,"1,692.48","1,692.48",381.57,381.57,386.59,386.59,106.56,352.82,803.97,803.97
