Year,Value
2029,11530.399
2030,10103.00435
2031,11617.87628
2032,11779.44892
2033,11939.31763
2034,12442.62671
2035,12467.31368
2036,12383.21662
2037,12127.77601
2038,12288.00144
2039,12562.54711
2040,12155.18929
2041,12245.84379
2042,12007.86468
2043,11640.89064
2044,10060.77394
