Year,Month,AGX,Arlington A,Arlington B,Arlington DB,Distributed BESS,EE_Baseline,Four Corners 4,Four Corners 5,Griffith A,Griffith B,Griffith DB,Incremental_DG,Microgrid - FUTURE,Microgrid XHLF,New Solar,PVS Solar 5 HR,PVS Solar 5 HR ITC,Redhawk 1 A,Redhawk 1 B,Redhawk 1 DB,Redhawk 2 A,Redhawk 2 B,Redhawk 2 DB,Short-Term Purch,South Point A,South Point B,South Point DB,West Phoenix CC5 A,West Phoenix CC5 B,West Phoenix CC5 DB
2031,6,102.7,124.999,69.166,79,157,725,283.4999979,283.4999979,131.749,8.432,107,1107,0.4,13.1,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,17.4993
2031,7,102.7,124.999,69.166,79,157,725,283.4999979,283.4999979,131.749,8.432,107,1107,0.4,13.1,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,17.4993
2031,8,102.7,124.999,69.166,79,157,725,283.4999979,283.4999979,131.749,8.432,107,1107,0.4,13.1,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,17.4993
2031,9,102.7,124.999,69.166,79,157,725,283.4999979,283.4999979,131.749,8.432,107,1107,0.4,13.1,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,17.4993
2031,10,102.7,124.999,69.166,79,157,725,283.4999979,283.4999979,131.749,8.432,107,1107,0.4,13.1,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,21
2031,11,102.7,124.999,69.166,79,157,725,283.4999979,283.4999979,131.749,8.432,107,1107,0.4,13.1,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,0,193.426,118.749,19,140,36,21
2031,12,102.7,124.999,69.166,79,157,725,283.4999979,283.4999979,131.749,8.432,107,1107,0.4,13.1,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,0,193.426,118.749,19,140,36,21
2032,1,102.7,124.999,69.166,79,188,839,283.4999979,283.4999979,131.749,8.432,107,1198,0.4,15.4,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,0,193.426,118.749,19,140,36,21
2032,2,102.7,124.999,69.166,79,188,839,283.4999979,283.4999979,131.749,8.432,107,1198,0.4,15.4,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,0,193.426,118.749,19,140,36,21
2032,3,102.7,124.999,69.166,79,188,839,283.4999979,283.4999979,131.749,8.432,107,1198,0.4,15.4,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,21
2032,4,102.7,124.999,69.166,79,188,839,283.4999979,283.4999979,131.749,8.432,107,1198,0.4,15.4,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,21
2032,5,102.7,124.999,69.166,79,188,839,283.4999979,283.4999979,131.749,8.432,107,1198,0.4,15.4,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,21
2032,6,102.7,124.999,69.166,79,188,839,283.4999979,283.4999979,131.749,8.432,107,1198,0.4,15.4,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,17.4993
