Year,Month,Cholla 1 Repower Gas,Cholla 3 Repower Gas
2040,1,10571.05263,10811.21053
2040,2,10549.19355,10788.85484
2040,3,10601.57658,10842.42793
2040,4,10330.38348,10565.07375
2040,5,10330.65476,10565.35119
2040,6,10330.20528,10564.8915
2040,7,10388.28571,10624.29143
2040,8,10386.79775,10622.76966
2040,9,10386.79775,10622.76966
2040,10,10357.38162,10592.68524
2040,11,10418.93764,10655.63972
2040,12,10408.87949,10645.35307
2041,1,10584.00735,10824.45956
2041,2,10564.10256,10804.10256
2041,3,10594.28571,10834.97143
2041,4,10359.36599,10594.7147
2041,5,10329.94186,10564.62209
2041,6,10329.51289,10564.18338
2041,7,10357.38162,10592.68524
2041,8,10384.65753,10620.58082
2041,9,10384.65753,10620.58082
2041,10,10356.13079,10591.40599
2041,11,10439.50339,10676.67269
2041,12,10406.40496,10642.82231
2042,1,10577.37882,10817.68043
2042,2,10557.5,10797.35
2042,3,10587.33906,10827.86695
2042,4,10358.02817,10593.34648
2042,5,10329.26136,10563.92614
2042,6,10357.70308,10593.01401
2042,7,10384.19619,10620.10899
2042,8,10382.62032,10618.49733
2042,9,10382.62032,10618.49733
2042,10,10354.78723,10590.03191
2042,11,10413.43612,10650.01322
2042,12,10403.83065,10640.18952
2043,1,10570.57793,10810.72504
2043,2,10551.69173,10791.40977
2043,3,10602.30608,10843.174
2043,4,10328.2967,10562.93956
2043,5,10357.22222,10592.52222
2043,6,10328.14208,10562.78142
2043,7,10382.18085,10618.04787
2043,8,10380.67885,10616.51175
2043,9,10380.67885,10616.51175
2043,10,10353.50649,10588.72208
2043,11,10410.75269,10647.26882
2043,12,10401.37795,10637.6811
2044,1,10582.19178,10822.60274
2044,2,10545.68807,10785.26972
2044,3,10595.4918,10836.20492
2044,4,10355.37634,10590.63441
2044,5,10327.91328,10562.54743
2044,6,10355.08021,10590.33155
2044,7,10380.25974,10616.08312
2044,8,10378.82653,10614.61735
2044,9,10378.82653,10614.61735
2044,10,10352.28426,10587.47208
2044,11,10429.83193,10666.78151
2044,12,10399.03846,10635.28846
2045,1,10575.58528,10815.84615
2045,2,10558.42294,10798.29391
2045,3,10588.4,10828.952
2045,4,10354.06824,10589.29659
2045,5,10327.24868,10561.86772
2045,6,10353.7859,10589.00783
2045,7,10378.4264,10614.20812
2045,8,10377.05736,10612.80798
2045,9,10377.05736,10612.80798
2045,10,10350.9901,10586.14851
2045,11,10426.89938,10663.78234
2045,12,10396.80451,10633.00376
2046,1,10568.84176,10808.94943
2046,2,10552.5394,10792.27671
2046,3,10601.75781,10842.61328
2046,4,10352.82051,10588.02051
2046,5,10326.61499,10561.21964
2046,6,10352.55102,10587.7449
2046,7,10402.23325,10638.55583
2046,8,10375.18248,10610.89051
2046,9,10375.18248,10610.89051
2046,10,10349.75845,10584.88889
2046,11,10423.8477,10660.66132
2046,12,10394.49541,10630.6422
2047,1,10579.26635,10819.61085
2047,2,10546.49573,10786.09573
2047,3,10594.84733,10835.5458
2047,4,10351.5,10586.67
2047,5,10326.0101,10560.60101
2047,6,10351.24378,10586.40796
2047,7,10374.8184,10610.51816
2047,8,10373.39667,10609.06413
2047,9,10398.09524,10634.32381
2047,10,10348.69976,10583.80615
2047,11,10420.93933,10657.68689
2047,12,10392.29391,10628.39068
2048,1,10588.78505,10829.34579
2048,2,10557.92988,10797.78965
2048,3,10607.46269,10848.44776
2048,4,10350.36675,10585.511
2048,5,10350.8642,10586.01975
2048,6,10350.12165,10585.26034
2048,7,10373.04965,10608.70922
2048,8,10371.69374,10607.32251
2048,9,10395.81395,10631.9907
2048,10,10347.46544,10582.54378
2048,11,10418.16444,10654.84895
2048,12,10408.23117,10644.69002
2049,1,10582.19178,10822.60274
2049,2,10552.03915,10791.76509
2049,3,10600.18215,10841.00182
2049,4,10349.16468,10584.28162
2049,5,10349.63855,10584.76627
2049,6,10348.93112,10584.04276
2049,7,10395.15012,10631.31178
2049,8,10370.06803,10605.65986
2049,9,10370.06803,10605.65986
2049,10,10346.3964,10581.45045
2049,11,10415.29851,10651.91791
2049,12,10405.64103,10642.04103
2050,1,10590.78752,10831.39376
2050,2,10546.01911,10785.60828
2050,3,10611.56584,10852.64413
2050,4,10348.01865,10583.10956
2050,5,10348.47059,10583.57176
2050,6,10347.79582,10582.88167
2050,7,10393.00226,10629.11512
2050,8,10391.35255,10627.42794
2050,9,10391.35255,10627.42794
2050,10,10368.06167,10603.60793
2050,11,10412.56831,10649.12568
2050,12,10403.17195,10639.51586
2051,1,10584.03483,10824.48766
2051,2,10556.2986,10796.12131
2051,3,10603.99306,10844.89931
2051,4,10346.92483,10581.99089
2051,5,10347.35632,10582.43218
2051,6,10346.60633,10581.66516
2051,7,10390.7489,10626.81057
2051,8,10389.17749,10625.20346
2051,9,10389.17749,10625.20346
2051,10,10366.45161,10601.96129
2051,11,10409.96441,10646.46263
2051,12,10400.81566,10637.10604
2052,1,10577.19547,10817.49292
2052,2,10566.10942,10806.15502
2052,3,10596.77966,10837.52203
2052,4,10345.77778,10580.81778
2052,5,10323.09417,10557.61883
2052,6,10345.57522,10580.61062
2052,7,10388.60215,10624.61505
2052,8,10387.10359,10623.08245
2052,9,10387.10359,10623.08245
2052,10,10364.91597,10600.39076
2052,11,10425.3913,10662.24
2052,12,10398.40764,10634.64331
2053,1,10570.67773,10810.82711
2053,2,10559.79228,10799.69436
2053,3,10589.90066,10830.48675
2053,4,10367.17391,10602.7
2053,5,10345.17544,10580.20175
2053,6,10344.49244,10579.50324
2053,7,10386.55462,10622.52101
2053,8,10363.71134,10599.15876
2053,9,10385.12397,10621.05785
2053,10,10342.21311,10577.17213
2053,11,10422.41087,10659.19185
2053,12,10396.11198,10632.29549
2054,1,10578.37838,10818.7027
2054,2,10553.76812,10793.53333
2054,3,10600,10840.81553
2054,4,10365.6051,10601.09554
2054,5,10344.11135,10579.11349
2054,6,10343.45992,10578.44726
2054,7,10384.59959,10620.52156
2054,8,10383.06452,10618.95161
2054,9,10383.06452,10618.95161
2054,10,10341.2,10576.136
2054,11,10419.56882,10656.28524
2054,12,10409.57447,10646.06383
2055,1,10571.76781,10811.94195
2055,2,10562.60623,10802.57224
2055,3,10592.891,10833.54502
2055,4,10342.6501,10577.61905
2055,5,10343.09623,10578.07531
2055,6,10363.71134,10599.15876
2055,7,10382.56513,10618.44088
2055,8,10381.10236,10616.94488
2055,9,10381.10236,10616.94488
2055,10,10360.46967,10595.84344
2055,11,10416.85575,10653.51053
2055,12,10406.97329,10643.40356
