Year,Value
2029,1743.29475
2030,1279.542
2031,2968.239
2032,3430.01
2033,3962.527
2034,4173.74025
2035,4396.601
2036,4757.6435
2037,4944.5085
2038,5075.415
2039,5187.986
2040,4780.2405
2041,5060.203
2042,4936.8395
2043,5249.3575
2044,5136.9575
