Year,Distributed BESS,EE_Baseline,EE_Scenario_4,EE_Scenario_5,EE_Scenario_7,EE_Scenario_8,Embedded_DG,Incremental_DG
2026,21.50621821,125.8814433,125.8814433,125.8814433,125.8814433,125.8814433,1365.433938,668.8654156
2027,44.89298107,247.1198443,247.1198443,247.1198443,247.1198443,247.1198443,1365.433938,755.5835203
2028,70.16028857,364.4664359,364.4664359,364.4664359,364.4664359,364.4664359,1365.433938,844.6915141
2029,97.30814072,470.9474329,470.9474329,470.9474329,470.9474329,470.9474329,1365.433938,930.3621665
2030,126.3365375,553.7211626,553.7211626,553.7211626,553.7211626,553.7211626,1365.433938,1018.564806
2031,157.245479,629.4867762,580.878936,586.561509,582.3151535,588.559352,1365.433938,1107.000083
2032,188.2934072,696.9700727,598.5170796,615.3441447,602.7174786,621.2903918,1365.433938,1197.706436
2033,219.4803222,761.3703188,626.4644802,659.9242359,634.6337068,671.6830703,1365.433938,1285.379562
2034,250.8062241,817.0434988,662.8891838,718.0966124,675.8865799,737.1572686,1365.433938,1376.025775
2035,282.2711127,485.2241627,707.550833,790.0184626,726.3163789,818.0058385,1365.433938,1467.950318
2036,313.8749881,490.8654517,748.3677986,858.0623937,772.6893401,894.8372615,1365.433938,1563.166589
2037,345.6178503,497.7188135,788.9221352,926.7345308,818.7458274,972.3937812,1365.433938,1655.62785
2038,377.4996994,503.6123438,829.2078583,995.4950783,864.3815024,1049.987943,1365.433938,1751.46206
2039,409.5205352,510.0948805,869.8773689,1065.187073,910.3535664,1128.591497,1365.433938,1848.674181
2040,441.6803578,516.0732244,909.3442329,1133.734755,954.7960604,1205.814714,1365.433938,1948.81493
2041,473.9791672,524.0051762,950.2326367,1205.325582,1000.803968,1286.503511,1365.433938,2046.713556
2042,506.4169634,530.2966906,990.5531889,1276.545087,1046.221382,1366.900172,1365.433938,2147.5462
2043,538.9937464,536.8200968,1031.858037,1349.209403,1092.708503,1448.979716,1365.433938,2249.55083
2044,571.7095162,542.4401707,1072.898014,1421.363966,1138.846345,1530.504491,1365.433938,2355.05355
2045,604.5642728,550.6364892,1117.635616,1498.883754,1189.130189,1618.166121,1365.433938,2457.865573
2046,604.5642728,558.4088037,1160.631515,1573.889064,1237.486232,1703.253176,1365.433938,2457.865573
2047,604.5642728,566.1810703,1203.627366,1648.894327,1285.842227,1788.340183,1365.433938,2457.865573
2048,604.5642728,573.9515288,1246.621408,1723.897781,1334.196414,1873.425382,1365.433938,2457.865573
2049,604.5642728,581.7250461,1289.61851,1798.904294,1382.55366,1958.51364,1365.433938,2457.865573
2050,604.5642728,589.49721,1332.614258,1873.909454,1430.909552,2043.600545,1365.433938,2457.865573
2051,604.5642728,597.2695574,1375.610189,1948.914797,1479.265628,2128.687633,1365.433938,2457.865573
2052,604.5642728,605.0403,1418.604516,2023.918536,1527.620099,2213.773116,1365.433938,2457.865573
2053,604.5642728,612.8141056,1461.601906,2098.925338,1575.977633,2298.861662,1365.433938,2457.865573
2054,604.5642728,620.5861457,1504.59753,2173.930374,1624.333401,2383.948443,1365.433938,2457.865573
2055,604.5642728,628.3578141,1547.592783,2248.935038,1672.688798,2469.034852,1365.433938,2457.865573
