Year,Four Corners to APS,New Mexico to APS,New Mexico to APS_Upgrade,Metro to APS,Northern to APS,Pinal to APS,Palo Verde to APS,Metro to APS_1stUpgrade,Metro to APS_2ndUpgrade,Pinal to APS_Upgrade,Northern to APS_Upgrade,Generic Metro to APS_Upgrade,Generic Northern to APS_Upgrade,Generic Pinal to APS_Upgrade
2024,970,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,970,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,970,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,970,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,970,0,0,1200,836,850,1300,150,330,780,500,0,0,0
2029,970,0,0,1200,836,850,1300,150,330,780,500,0,0,0
2030,970,0,0,1200,836,850,1300,150,330,780,500,0,0,0
2031,970,900,900,1200,836,850,1300,150,330,780,500,0,0,0
2032,1210,900,900,1200,836,850,1300,150,330,780,500,0,0,0
2033,1210,900,900,1200,836,850,1300,150,330,780,500,0,0,0
2034,1210,900,900,1200,836,850,1300,150,330,780,500,0,0,0
2035,1210,900,900,1200,836,850,1300,150,330,780,500,0,0,0
2036,1210,900,900,1200,836,850,1300,150,330,780,500,0,0,0
2037,1210,900,900,1200,836,850,1300,150,330,780,500,0,0,0
2038,1210,900,900,1200,836,850,1300,150,330,780,500,0,0,0
2039,1210,900,900,1200,836,850,1300,150,330,780,500,0,0,0
2040,1210,900,900,1200,836,850,1300,150,330,780,500,1000,1000,1000
2041,1210,900,900,1200,836,850,1300,150,330,780,500,1000,1000,1000
2042,1210,900,900,1200,836,850,1300,150,330,780,500,1000,1000,1000
2043,1210,900,900,1200,836,850,1300,150,330,780,500,1000,1000,1000
2044,1210,900,900,1200,836,850,1300,150,330,780,500,1000,1000,1000
2045,1210,900,900,1200,836,850,1300,150,330,780,500,1000,1000,1000
2046,1210,900,900,1200,836,850,1300,150,330,780,500,1000,1000,1000
2047,1210,900,900,1200,836,850,1300,150,330,780,500,1000,1000,1000
2048,1210,900,900,1200,836,850,1300,150,330,780,500,1000,1000,1000
2049,1210,900,900,1200,836,850,1300,150,330,780,500,1000,1000,1000
2050,1210,900,900,1200,836,850,1300,150,330,780,500,1000,1000,1000
2051,1210,900,900,1200,836,850,1300,150,330,780,500,1000,1000,1000
2052,1210,900,900,1200,836,850,1300,150,330,780,500,1000,1000,1000
2053,1210,900,900,1200,836,850,1300,150,330,780,500,1000,1000,1000
