 On-peak Mon-Sat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , Jan-2026 , Feb-2026 , Mar-2026 , Apr-2026 , May-2026 , Jun-2026 , Jul-2026 , Aug-2026 , Sep-2026 , Oct-2026 , Nov-2026 , Dec-2026 , Tot-2026 , Jan-2027 , Feb-2027 , Mar-2027 , Apr-2027 , May-2027 , Jun-2027 , Jul-2027 , Aug-2027 , Sep-2027 , Oct-2027 , Nov-2027 , Dec-2027 , Tot-2027 , Jan-2028 , Feb-2028 , Mar-2028 , Apr-2028 , May-2028 , Jun-2028 , Jul-2028 , Aug-2028 , Sep-2028 , Oct-2028 , Nov-2028 , Dec-2028 , Tot-2028 , Jan-2029 , Feb-2029 , Mar-2029 , Apr-2029 , May-2029 , Jun-2029 , Jul-2029 , Aug-2029 , Sep-2029 , Oct-2029 , Nov-2029 , Dec-2029 , Tot-2029 , Jan-2030 , Feb-2030 , Mar-2030 , Apr-2030 , May-2030 , Jun-2030 , Jul-2030 , Aug-2030 , Sep-2030 , Oct-2030 , Nov-2030 , Dec-2030 , Tot-2030 , Jan-2031 , Feb-2031 , Mar-2031 , Apr-2031 , May-2031 , Jun-2031 , Jul-2031 , Aug-2031 , Sep-2031 , Oct-2031 , Nov-2031 , Dec-2031 , Tot-2031 ,    Total 
  West Phoenix CC3 gas:MW        ,23977.8086,22747.3379,25686.9688,26601.2617,19254.5234,19817.0078,27568.2676,27514.9727,23856.5488,2785.7871,22509.4336,25217.0586,267536.9688,19470.998,17152.0508,22150.8945,24224.4316,16862.0625,18188.168,27327.5156,25762.5352,23343.8027,569.5014,6572.9888,23986.2969,225611.2344,21393.4785,18418.8555,21946.1523,21645.4746,15120.2705,17495.6934,26162.9883,27758.4961,21221.9863,5564.04,20479.6875,17803.3184,235010.4531,18523.8965,13398.5635,10440.1641,15100.5518,2057.3069,7387.1187,22178.0703,20762.3945,14585.7578,5993.1763,6537.1606,15311.9014,152276.0625,18252.8535,10632.0146,14492.8906,12033.4824,4666.3164,8796.8242,23508.6895,22578.5977,16532.418,3442.3186,19471.8398,26849.1172,181257.375,24099.1563,16072.7617,17131.8633,14396.1504,3835.1423,9125.9609,28725.9902,26748.1719,19034.7754,1975.3138,23199.668,28012.2012,212357.1563,1274049.25
  Ocotillo CT1 gas:MW            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Ocotillo CT2 gas:MW            ,336.9788,2046.7297,2598.8005,8409.1045,2338.2974,1589.8184,6225.5234,5915.6035,3873.2185,1212.7655,1352.109,2834.8972,38733.8477,764.5385,903.6802,1538.8766,1272.1132,1168.9791,679.4824,1311.6836,1724.4877,1330.0195,644.1321,400.6823,437.8502,12176.5254,278.8034,615.1719,1058.0092,532.0024,910.3425,902.6361,2246.2544,2629.3132,1078.7336,682.3898,416.6236,118.6924,11468.9727,274.1435,321.4091,217.0596,472.5919,320.2595,953.4073,2153.3457,3618.2393,1022.6699,636.0906,138.0238,453.6342,10580.874,445.9573,503.1857,889.5372,910.6949,453.3037,846.707,2731.1106,3257.3301,1236.6815,962.2907,2199.9519,2468.9604,16905.7109,432.279,253.0906,611.877,486.7827,490.2401,1093.1893,4584.3076,5048.896,1120.6182,214.6918,643.4009,76.1555,15055.5283,104921.4766
  Saguaro CT1 gas:MW             ,867.0702,850.6602,2229.4248,7656.1948,1877.3815,1486.6576,6272.9312,5879.3687,3525.0491,234.8388,0,2629.0571,33508.6328,554.8773,1157.3846,1902.7045,1436.6868,1346.1561,798.4775,1449.1375,1982.8131,1466.0918,823.1884,549.2536,659.5167,14126.2891,308.5193,855.9505,1350.6918,709.9822,1076.4867,1001.0298,2391.5029,2961.2971,1271.9142,776.4896,539.3365,696.5657,13939.7656,235.6757,684.5782,697.54,567.0515,359.7018,1056.1172,2325.4075,3843.5286,1156.5632,796.0681,731.5602,741.8542,13195.6475,408.7603,596.8207,1066.7024,1271.7106,835.8506,968.6876,2983.1812,3975.4751,1467.5464,1147.3715,2750.5217,3394.5981,20867.2246,90.5155,597.0751,737.0821,711.9629,799.897,1237.2968,5264.3477,5714.1479,1432.0662,465.2189,781.5444,310.9052,18142.0605,113779.6328
  Saguaro CT2 gas:MW             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  West Phoenix CT1 gas:MW        ,505.0329,1783.4182,2517.5444,7873.5449,2040.3187,1620.9125,6254.2832,5713.1699,3595.002,166.778,1922.7534,773.4557,34766.2148,573.0852,709.33,1200.1616,1260.0823,1030.2629,616.3131,1253.7135,1538.9667,1201.5027,525.6156,334.7115,132.2399,10375.9854,683.0867,475.4551,871.8439,403.272,785.8386,824.2615,2144.0522,2514.4534,972.2083,588.8659,362.8609,34.082,10660.2813,223.2444,290.0346,181.3504,414.421,272.8333,916.5668,2045.5492,3331.926,955.1957,564.3484,559.2026,114.0262,9868.6982,781.3335,440.6785,786.5071,784.3987,394.868,785.9009,2606.5635,2966.6763,1178.1113,884.5897,2135.7825,1369.4363,15114.8457,415.4831,202.5949,497.7269,411.8073,396.8181,1016.7494,4358.4448,4698.7114,1036.6619,173.8305,447.1575,22.6201,13678.6055,94464.6172
  West Phoenix CT2 gas:MW        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Yucca CT1 gas:MW               ,0,0,0,0,0,0,1212.4539,991.6103,86.1641,0,0,0,2290.2283,0,0,0,0,0,35.48,394.7297,77.872,40.416,0,0,0,548.4977,0,0,0,0,0,130.0401,547.4411,339.8425,37.916,0,0,0,1055.2396,0,0,0,0,0,201.392,696.2631,339.2151,139.5655,0,0,0,1376.4359,0,0,0,0,0,320.6001,814.5388,552.1053,264.3475,0,0,0,1951.5918,0,0,0,0,0,855.7682,2818.53,1968.5227,1188.1838,0,0,0,6831.0049,14052.998
  Yucca CT2 gas:MW               ,0,0,0,0,0,0,1210.8131,958.598,71.9454,0,0,0,2241.3564,0,0,0,0,0,35.98,398.0194,77.296,40.7885,0,0,0,552.084,0,0,0,0,0,129.48,548.066,332.4312,37.5269,0,0,0,1047.5042,0,0,0,0,0,198.4321,690.9814,340.312,138.664,0,0,0,1368.3895,0,0,0,0,0,319.1804,812.2372,553.0493,263.8062,0,0,0,1948.2729,0,0,0,0,0,847.9116,2826.2004,1965.0496,1189.4288,0,0,0,6828.5903,13986.1973
  Yucca CT3 gas:MW               ,3607.0186,6060.1221,7746.4033,6998.9429,7671.2471,6490.3447,8259.5527,8226.2041,5777.7627,10671.0635,3751.3774,3339.0125,78599.0547,1779.9852,569.2269,1637.8978,3131.6169,1900.1058,1943.5084,4927.5381,4206.4985,1916.8499,0,301.2214,1026.5117,23340.959,1995.8395,761.3871,1821.3259,3013.0161,2548.5063,3281.0908,6355.4355,5983.4912,2693.8298,1128.9697,1432.5106,1098.8844,32114.2891,1061.5992,670.9697,2156.5796,1191.5959,1729.7511,3490.2148,6565.7212,5627.9419,3366.1218,2417.3655,1705.6565,1535.2571,31518.7734,1535.3528,755.7419,1994.3361,2108.4031,1683.1973,4855.1455,7425.6436,7511.0083,4644.4268,2026.1042,4856.0947,5100.3784,44495.832,614.3738,676.0336,1739.0271,1687.9615,1382.4647,6583.1694,11843.6895,11482.8691,7895.2974,912.4534,1987.2274,1165.1823,47969.7461,258038.7031
