 ( 1) System Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,  Jan-2026  ,  Feb-2026  ,  Mar-2026  ,  Apr-2026  ,  May-2026  ,  Jun-2026  ,  Jul-2026  ,  Aug-2026  ,  Sep-2026  ,  Oct-2026  ,  Nov-2026  ,  Dec-2026  ,  Tot-2026  ,  Jan-2027  , Feb-2027 , Mar-2027 , Apr-2027 , May-2027 , Jun-2027 , Jul-2027 , Aug-2027 , Sep-2027 , Oct-2027 , Nov-2027 , Dec-2027 , Tot-2027 , Jan-2028 , Feb-2028 , Mar-2028 , Apr-2028 , May-2028 , Jun-2028 , Jul-2028 , Aug-2028 , Sep-2028 , Oct-2028 , Nov-2028 , Dec-2028 , Tot-2028 , Jan-2029 , Feb-2029 , Mar-2029 , Apr-2029 , May-2029 , Jun-2029 , Jul-2029 , Aug-2029 , Sep-2029 , Oct-2029 , Nov-2029 , Dec-2029 , Tot-2029 , Jan-2030 , Feb-2030 , Mar-2030 , Apr-2030 , May-2030 , Jun-2030 , Jul-2030 , Aug-2030 , Sep-2030 , Oct-2030 , Nov-2030 , Dec-2030 , Tot-2030 , Jan-2031 , Feb-2031 , Mar-2031 , Apr-2031 , May-2031 , Jun-2031 , Jul-2031 , Aug-2031 , Sep-2031 , Oct-2031 , Nov-2031 , Dec-2031 , Tot-2031 ,    Total 
  WPhx CC5 DB                    ,9.2,0,0,9.2,9.2,9.2,9.2,9.2,9.2,0,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,0,0,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2
  RedHawkCC1 1X1                 ,7.6855,7.5426,7.5603,7.6789,7.4518,7.5879,7.3185,7.3911,7.6853,7.5026,0,7.7438,7.5926,7.5736,7.6804,7.9385,7.646,7.5267,7.6967,7.3393,7.3216,7.6836,7.6033,7.712,7.7179,7.6671,7.799,7.9098,8.0768,8.0442,7.5208,7.7422,7.2813,7.2642,7.4219,7.4942,7.4001,7.2723,7.692,7.4127,7.7042,7.6211,7.6061,7.3468,7.4566,7.1884,7.1851,7.2292,7.0215,7.4493,7.0662,7.4232,7.268,7.7646,7.7857,7.6461,7.3206,7.3539,7.1394,7.1505,7.2068,7.18,7.2383,0,7.4278,7.097,7.4936,7.6748,7.6593,7.2792,7.264,7.1008,7.1378,7.149,7.0886,0,6.8865,7.3042,7.5265
  RedHawkCC1 2X1                 ,7.2645,7.36,7.3621,7.2446,7.5062,7.7141,7.3496,7.4445,7.7261,7.5714,0,7.7282,7.4623,7.3872,7.4134,7.5482,7.3375,7.5015,7.7208,7.3952,7.3695,7.4654,7.2134,7.4993,7.1253,7.4217,7.084,7.2355,7.6334,7.4969,7.4413,7.7404,7.3355,7.2975,7.4443,7.1572,6.9808,6.9592,7.3384,6.9467,6.9575,6.9742,7.0482,7.3006,7.5262,7.2118,7.2306,7.2994,6.9865,6.9525,6.9283,7.1389,6.9272,6.9879,6.9505,6.9718,7.2619,7.3871,7.1561,7.176,7.2342,6.9409,6.938,0,7.1114,6.9254,6.9304,6.9272,6.943,7.2258,7.2873,7.1337,7.1605,7.1853,6.9457,0,6.8821,7.0591,7.2281
  RedHawkCC1 DB                  ,0,0,9.15,9.15,9.15,9.15,9.15,9.15,9.15,9.15,0,0,9.15,0,0,9.15,9.15,9.15,9.15,9.15,9.15,9.15,9.15,0,0,9.15,0,0,9.15,9.15,9.15,9.15,9.15,9.15,9.15,9.15,0,0,9.15,0,0,9.15,9.15,9.15,9.15,9.15,9.15,9.15,9.15,0,0,9.15,0,0,9.15,9.15,9.15,9.15,9.15,9.15,9.15,9.15,0,0,9.15,0,0,9.15,9.15,9.15,9.15,9.15,9.15,9.15,9.15,0,0,9.15,9.15
  RedHawkCC2 1X1                 ,7.7928,7.5466,0,0,7.5345,7.6427,7.3822,7.4055,7.7338,7.5554,0,7.9043,7.6448,7.663,7.7742,0,7.8619,7.5457,7.7462,7.3517,7.3765,7.7857,7.7675,7.8443,7.8912,7.7435,7.976,8.1263,9.1597,8.4319,7.4985,7.6944,7.2998,7.3051,7.6771,7.6206,7.6771,7.3173,7.7343,7.4995,7.9392,7.7266,8.1222,7.3839,7.4579,7.2364,7.2138,7.443,7.2984,7.4692,7.1004,7.4989,7.2964,7.8326,0,7.7354,7.3409,7.366,7.1513,7.1574,7.2283,7.2527,7.2739,7.0579,7.3426,7.0924,7.4542,0,7.854,7.2928,7.3112,7.1086,7.1327,7.1436,7.112,7.0846,6.8687,7.2307,7.5311
  RedHawkCC2 2X1                 ,7.2583,7.5542,0,0,7.5711,7.7222,7.3456,7.4462,7.8555,7.598,0,7.8464,7.5304,7.3224,7.3839,0,7.1855,7.5112,7.7272,7.4063,7.3712,7.5334,7.2242,7.3344,7.1778,7.4114,7.1528,7.2829,8.9585,7.4893,7.4461,7.7558,7.3393,7.2989,7.4855,7.143,6.9686,6.9645,7.2982,6.9638,6.9694,6.9797,7.0914,7.302,7.5246,7.2139,7.2283,7.2966,6.9695,6.9284,6.9193,7.1284,6.9345,6.9867,0,7.0541,7.2642,7.3885,7.1549,7.1804,7.2316,6.936,6.9123,6.9253,7.092,6.9371,6.9378,0,6.9856,7.2266,7.2926,7.1329,7.1629,7.1774,6.9348,6.9063,6.8591,7.054,7.2124
  RedHawkCC2 DB                  ,0,0,0,0,9.15,9.15,9.15,9.15,9.15,9.15,0,0,9.15,0,0,0,9.15,9.15,9.15,9.15,9.15,9.15,9.15,0,0,9.15,0,0,9.15,9.15,9.15,9.15,9.15,9.15,9.15,9.15,0,0,9.15,0,0,9.15,9.15,9.15,9.15,9.15,9.15,9.15,9.15,0,0,9.15,0,0,0,9.15,9.15,9.15,9.15,9.15,9.15,9.15,0,0,9.15,0,0,0,9.15,9.15,9.15,9.15,9.15,9.15,9.15,0,0,9.15,9.15
  Griffith 1X1                   ,0,0,0,0,0,8.1951,7.9709,8.0326,8.2734,0,0,0,8.1171,0,0,0,0,8.3664,8.2924,8.013,8.114,8.2546,8.2824,0,0,8.2407,8.8577,8.6065,8.5509,8.6945,8.5583,8.41,7.9711,8.1114,8.2038,8.2123,8.1767,8.1628,8.3362,8.1254,8.3948,8.2916,8.3048,8.3495,8.1927,7.8604,8.0271,7.9949,8.1555,8.2058,7.933,8.187,7.9851,8.4144,8.4665,8.2193,8.2819,8.0756,7.6835,7.8613,7.7978,7.943,7.8813,7.8242,8.1508,7.843,8.2072,8.4502,8.3521,8.2539,8.1007,7.6413,7.6801,7.7142,7.8875,7.7623,7.6494,8.0831,8.1957
  Griffith 2x1                   ,0,0,0,0,0,8.6027,7.5653,7.5712,7.8611,0,0,0,7.6154,0,0,0,0,7.77,7.6582,7.5497,7.504,7.5726,7.6476,0,0,7.5727,7.6144,7.7724,7.8596,7.9604,7.7864,7.6964,7.491,7.5144,7.6075,7.5705,7.5137,7.4825,7.5653,7.4701,7.5615,7.52,7.7941,7.6516,7.5176,7.4295,7.3984,7.4706,7.4531,7.4472,7.4262,7.4679,7.4574,7.475,7.4661,7.5283,7.6045,7.4585,7.3542,7.3722,7.3817,7.4342,7.4196,7.4087,7.428,7.4403,7.4622,7.4582,7.4974,7.5742,7.4512,7.3606,7.3828,7.3749,7.4381,7.3962,7.3539,7.4163,7.4626
  Griffith DB                    ,0,0,0,0,0,9.4414,9.4414,9.4414,9.4414,0,0,0,9.4414,0,0,0,0,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,0,0,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414,9.4414
  ARLINGTON CC1 1X1              ,0,0,0,0,8.6068,8.5074,8.2584,8.3032,8.4675,8.5263,0,0,8.4142,0,0,0,0,8.8952,8.8687,8.2993,8.4115,8.6212,8.7062,0,0,8.5794,0,0,0,0,9.0924,8.6541,8.1647,8.2911,8.5281,8.4967,0,0,8.4392,0,0,0,0,8.618,8.3061,7.9196,7.9784,8.105,8.0675,0,0,8.1856,0,0,0,0,8.6344,8.1991,7.8088,7.9133,7.9925,7.9516,0,0,8.1202,0,0,0,0,8.5962,8.2894,7.7118,7.7593,7.8297,7.9833,0,0,8.0674,8.2981
  ARLINGTON CC1 2X1              ,0,0,0,0,8.1343,8.7182,7.5219,7.4248,8.3467,8.2081,0,0,7.7519,0,0,0,0,8.1377,7.9271,7.4305,7.3229,7.5839,8.1094,0,0,7.4978,0,0,0,0,8.2022,7.8152,7.3002,7.266,7.5272,7.7715,0,0,7.3892,0,0,0,0,7.4053,7.4241,7.117,7.1119,7.2363,7.1827,0,0,7.1954,0,0,0,0,7.3932,7.281,7.0503,7.0694,7.1047,7.1576,0,0,7.1216,0,0,0,0,7.3347,7.1824,7.0205,7.0484,7.0556,7.1338,0,0,7.084,7.2175
  ARLINGTON CC1 DB               ,0,0,0,0,9.875,9.875,9.875,9.8737,9.875,9.875,0,0,9.8746,0,0,0,0,9.875,9.875,9.8736,9.8734,9.875,9.875,0,0,9.874,0,0,0,0,9.8709,9.875,9.8746,9.8733,9.875,9.875,0,0,9.8743,0,0,0,0,9.8593,9.8745,9.8745,9.8735,9.8733,9.875,0,0,9.8732,0,0,0,0,9.7669,9.8179,9.7772,9.7187,9.8033,9.8742,0,0,9.7926,0,0,0,0,9.7279,9.7043,9.6896,9.6432,9.6688,9.8441,0,0,9.7021,9.7704
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ( 5) Thermal Unit Total Cost ($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , Jan-2026 , Feb-2026 , Mar-2026 , Apr-2026 , May-2026 , Jun-2026 , Jul-2026 , Aug-2026 , Sep-2026 , Oct-2026 , Nov-2026 , Dec-2026 , Tot-2026 , Jan-2027 , Feb-2027 , Mar-2027 , Apr-2027 , May-2027 , Jun-2027 , Jul-2027 , Aug-2027 , Sep-2027 , Oct-2027 , Nov-2027 , Dec-2027 , Tot-2027 , Jan-2028 , Feb-2028 , Mar-2028 , Apr-2028 , May-2028 , Jun-2028 , Jul-2028 , Aug-2028 , Sep-2028 , Oct-2028 , Nov-2028 , Dec-2028 , Tot-2028 , Jan-2029 , Feb-2029 , Mar-2029 , Apr-2029 , May-2029 , Jun-2029 , Jul-2029 , Aug-2029 , Sep-2029 , Oct-2029 , Nov-2029 , Dec-2029 , Tot-2029 , Jan-2030 , Feb-2030 , Mar-2030 , Apr-2030 , May-2030 , Jun-2030 , Jul-2030 , Aug-2030 , Sep-2030 , Oct-2030 , Nov-2030 , Dec-2030 , Tot-2030 , Jan-2031 , Feb-2031 , Mar-2031 , Apr-2031 , May-2031 , Jun-2031 , Jul-2031 , Aug-2031 , Sep-2031 , Oct-2031 , Nov-2031 , Dec-2031 , Tot-2031 ,    Total 
  Palo Verde 1                   ,1877267,1689546.5,1867164.125,1787690.75,1852530.25,1772534.375,1827690.5,1833352.125,1768621.875,120496.6484,641625.875,1923108.375,18961626,1923722.125,1730076,1908747,1841643.25,1898186.875,1818199.875,1880933.875,1883004,1822740.625,1903105.5,1844889.875,1906709.125,22361960,1925919.25,1793291.25,1480302.375,-12.7029,2215171,2239630,2318543.5,2314847,2247357,2338152.75,2258163.25,2368523.25,23499890,2359467.25,2140198,2353753.25,2265312,2346390.5,2238577.5,2315118,2324342.5,2232459.75,373964.25,585114.1875,2411661,23946356,2419994.25,2166698.5,2421252.25,2316906,2384337,2291126,2369711.25,2370900.25,2289302,2389807,2318907,2409750.25,28148694,2942213.75,2658394,2653248.75,0,2394548.75,2797811.25,2881329,2883986.5,2782952.25,2915508.5,2815741.75,2946711.25,30672446,147590976
  Palo Verde 2                   ,1884647.375,1686538.125,1628477.25,0,1623962.875,1824566.875,1893813.125,1879454.375,1825547.25,1906731.25,1838426.875,1926023.375,19918188,1918589.5,1741928.125,1916116,1842977.125,1902581.25,1821765.25,1887241.125,1889100.125,1815736.125,61280.8164,764619.0625,2089691.25,19651626,2092809.5,1949748.75,2098722.25,2002623.625,2060897.875,1992221,2040374.75,2050691.625,1985133.625,2063505.75,2002203.25,2092514.875,24431448,2083133.75,1891967.875,2018791.25,0,1752679.375,2219089,2292291.75,2294866,2212009.5,2313504.75,2237692.25,2336895.75,23652922,2406569,2161315.25,2410846,2294816.75,2380571.75,2282996.75,2348008.75,2357902.5,2275620.75,307009.1875,653652.6875,2399734.25,24279044,2732233.5,2466332.25,2738065,2612965,2704949,2586661.5,2696877.75,2673342,2595622.5,2696616.25,2618390.75,2729458,31851512,143784752
  Palo Verde 3                   ,1860042.5,1678729.125,1864024.125,1766575.5,1840357,1762549.875,1812359.375,1810011.5,1758228,1834496.5,1770358.25,1861304.125,21619034,1837586.75,1675592.375,1548465.75,0,1820628,1959074.75,2035170.5,2027847.875,1960780.375,2056181.625,1986881.5,2070270.25,20978480,2068477.625,1936665,2073720.625,1983558.375,2049656.5,1971067,2023892.5,2027840.75,1968844.625,394632.5313,487035.4688,2295727.25,21281120,2299222.25,2090114.5,2314201.5,2204706.25,2287890,2190580.25,2261419.75,2268912.25,2188056.5,2276936.5,2214428,2311250.25,26907718,2603229,2359080.75,2437387.75,0,2040893.5,2481724.5,2550104.75,2565192.75,2467534.5,2580304.75,2512757.25,2598951.25,27197162,2804244.5,2532530.5,2796819.25,2694439,2774164.25,2669492.25,2735154.25,2758638.5,2662207,263180.4063,1752496.125,2795699.75,29239064,147222576
  Four Corners 1                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Four Corners 2                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Four Corners 3                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Four Corners 4                 ,12095052,6936819,3680373.75,7332066,8156194,11050906,12367762,12776401,12072733,10909667,10968397,11802543,120148912,11747674,9968218,5404149,8125037,8306955,11873487,13336301,13327850,12762017,11926414,11334356,12097144,130209608,11876943,6369397,4628338,10185999,8609756,12678605,13874126,13816186,13107141,12687626,12276119,10903500,131013728,11473873,9537757,5759437.5,8860436,9136724,13320164,14222775,14131790,13758733,10092447,10773631,11257501,132325280,11449765,11568997,6443874,9546751,9299389,12604111,13294583,13551092,12918236,10953435,11785777,14616870,138032880,12819345,10969156,11901092,10526408,10135128,13269356,14458307,14520412,13778725,12096251,8559560,13557267,146591008,798321344
  Four Corners 5                 ,12131346,8523490,9097308,4070792.25,8198821,11078056,12449679,12932965,11967159,10895118,10924003,11853774,124122512,11749357,9829021,10580360,4353564.5,7464525.5,12061645,13271149,13406138,12718743,11911533,11348717,12002381,130697144,11997846,11145938,10960215,2116086.5,6389867.5,12556622,13858314,13642205,13175978,12706455,12304813,11045885,131900232,11338822,9464410,9271620,3734046,9085770,13174194,14367658,14287823,13642844,10145142,10609668,11302534,130424536,11423222,11428896,12643236,5689242,9392166,12516969,13400506,13463898,13053821,10823625,11712115,14786574,140334256,12912411,10795084,3741349,10599363,10169750,13120973,14616673,14610606,13703046,12065148,12862758,13535964,142733136,800211840
  Cholla 1                       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Cholla 2                       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Cholla 3                       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Navajo 1                       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Navajo 2                       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Navajo 3                       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  West Phoenix CC1 gas           ,1402359.375,0,0,-149062.6563,-1101327.25,-78913.3047,472973.8125,641921.5,653605,52496.3945,362445.9063,2290629,4547128,2265454.75,992013.375,1354846.125,1026587.688,970225.8125,1065101.875,1462797.875,1467521.5,1313193.125,1328760.75,1579977.875,2464444,17290924,2285234,1189681.125,1463644.75,1077388.375,1025330.313,1210923.25,1599538.125,1758860.375,1474961.25,1356559.375,1940784.75,2709259.5,19092164,2348818,1232177.25,1553596,1333728.5,1414590.5,1438325.25,1821076.625,1828271.875,1550633,1753263.625,2130019.25,2572592,20977092,2256831.75,1249115.875,1845883,1264135.375,1244208.125,1246875.125,1809242.75,1873166.75,1629306.25,1840769.5,2165804.5,2666391.25,21091730,2217236,998148.25,2052785.125,1281649.25,1246965.625,1327456.125,1909098.375,1940765,1780287.5,1921476.375,2181501,2712175,21569544,104568592
  West Phoenix CC2 gas           ,1345000.75,157902.5781,-162885.0156,-1083600.375,-775142.3125,-181969.9375,342086.4375,461428.9688,472328.0313,60440,1080038.375,1717252.625,3432880,1596160.5,1204651.625,917288.5,795390.9375,674381.75,724355.75,1281051.875,1271329.75,1097173,910289.9375,650391.6875,1808550.25,12931016,1886250.875,1414067.875,976373.0625,785382.0625,636956.25,796057.0625,1451158.125,1525938.75,1188346,403011.1563,619086.9375,1707296.75,13389925,1975321.5,1212727.5,788687.0625,827934.1875,401180.3125,484776.0313,1395860,1319363,905959.625,381746.5938,1377645.125,1348685.875,12419888,1901376.125,1033018.625,1080158.875,637479.125,378376.4688,495171.2813,1360426.875,1380061.5,1028453.688,886272.375,826007.375,2132084.25,13138886,2207269,1510225.75,1359469.25,731907.4375,421494.25,656204.25,1763149.125,1748022.875,1329100.25,934439.4375,903890.3125,2308496.5,15873668,71186256
  West Phoenix CC3 gas           ,1517636.75,222994.2188,-124011.8438,-1115879.25,-830027.375,-184412.7656,370072.7188,527631.0625,510347.0938,69670.4063,1222789,1959903.5,4146713.5,1898843,1478280.125,1102542.375,887034,728817.0625,805703.0625,1307039.5,1278974.375,1126668.5,26721.3867,470262.1875,2036743.375,13147628,2011495.625,1563663.625,1189154.625,891624.1875,717372.3125,873892.25,1452791.5,1530735.875,1238128.25,330417.125,1501511.5,1817627.5,15118414,2048640.5,1378359,705511.6875,866489.9375,141356.875,505014.0313,1458733.875,1427441.75,1002751.5,436266.1563,592245.8125,1489845.75,12052658,1987868.5,1091222.75,1177742.875,686403.8125,288325.5938,552603.5,1473889.625,1461138.125,1148392.5,282857.8125,1604785.25,2270209.75,14025441,2284413.5,1582952.625,1407818.875,774170.75,265081.5313,612266.25,1761195.625,1736413.875,1256770.375,144898.875,1837465.75,2341959.25,16005408,74496248
  Ocotillo ST1 gas               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Ocotillo ST2 gas               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Saguaro ST1 gas                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Saguaro ST2 gas                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Ocotillo CT1 gas               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Ocotillo CT2 gas               ,38779.6094,-10159.0781,-228733.0156,-1041394.813,-446673.0313,-254588.2813,100446.8828,190290.2031,196565.1875,78186.4219,212543.2031,606508.0625,-558228.5625,182496.125,153063.2656,213998.5938,131762.9531,132762.9688,114179.1328,297687.2813,291310.25,272330.375,147166.6094,69417.6016,87098.9531,2093274.125,83965.2891,97824.3594,191627.125,75646.6719,153129.6875,215917.3438,429899.9063,471768.5625,270207.1563,113523.3984,47425.2656,27127.7656,2178062.5,43028.875,64078.5352,23363.7305,87014.7969,35182.7461,144211.0469,384556.0313,585095.25,266041.1875,122460.3125,23883.4531,65411.0742,1844327.125,88205.7109,82287.625,114611.6563,96369.1797,66511.5781,129054.5625,419656.0938,519436.2813,277644.6875,144992.4531,369029.6875,486529.5938,2794329,74592.3828,50856.1641,76787.2734,68586.7266,83324.6719,161252.375,598447.5625,646105.6875,192155.7031,45710.3633,94883.7578,9746.707,2102449.25,10454213
  Saguaro CT1 gas                ,109400.2422,-12935.0576,-210136.2188,-953468.5625,-361193.8438,-239662.875,103671.5313,187556.0625,182589.7188,21163.9473,0,559098.0625,-613916.9375,138442.5313,199769.1406,270108.1875,145655.6875,161808.75,142401.4063,319424.8125,328637.8438,289339.0938,181067.0938,95670.6016,130304.7422,2402629.75,98433.8594,129798.0781,235281.5469,96728.2734,178815.2813,241049.3125,447149.0938,504304,300941.4063,125332.7188,59962.0117,148940.7031,2566736.25,32481.0742,112271.2813,101788.3828,101136.5781,38832.3945,162772.375,404435.1875,601395.1875,288151.7813,149897.3594,126840.8125,111947.9063,2231950.5,79570.3281,94664.6016,135256.9219,128059.4375,115858.8984,143533.0469,445340.4375,584089,311975.5938,170328.0156,454681.9688,659488.375,3322847,21266.7168,111527.1406,93458.7422,104531.3906,133664.7656,188018.375,745706.375,713998.9375,241079.5625,105888.4063,130720.2266,47193.6406,2637054.5,12547301
  Saguaro CT2 gas                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  West Phoenix CT1 gas           ,61111.0938,-18727.9258,-212181.7969,-982827.1875,-387932.6875,-251580.625,98005.4688,181865.5469,185456.3125,11430.8809,303264.8125,159011.3438,-853104.75,132279.4531,116205.5625,155770.5313,119890.0703,111797.7891,101399.6563,280375.875,259930.0156,245520.3438,120316.0234,56752.2109,26877.4805,1727115.125,156796.375,74534.5391,150628.7969,57281.7461,122430.0625,191610.7031,409383.7188,450368.75,242671.2031,96226.2969,40249.7969,7189.1265,1999371,34912.8984,55715.7969,18941.5059,72095.5938,29238.8457,138089.1719,368949.625,541392.375,252989.1875,108673.0703,98432.0938,13920.166,1733350.375,183585.9219,71133.0469,100297.4609,85354.7422,57114.2266,122300.6797,404696.625,480130.2813,264882.3438,131828.2344,352602.625,271252.0938,2525178.25,70212.2422,42605.0195,61398.9844,58731.2188,69524.9922,148041.5156,575483.75,603506.8125,176330.2656,33693.0078,68100.7734,2422.9602,1910051.5,9041960
  West Phoenix CT2 gas           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Yucca CT1 gas                  ,0,0,0,0,0,0,112662.3594,106142.6719,12854.2676,0,0,0,231659.2969,0,0,0,0,0,12544.5723,155275.5,30040.3516,15615.791,0,0,0,213476.2344,0,0,0,0,0,57778.7969,253690.4063,151966.9844,28868.1641,0,0,0,492304.3438,0,0,0,0,0,74324.7578,345892.6875,172465.625,78038.9766,0,0,0,670722.0625,0,0,0,0,0,136228.0625,398007.9063,252788.9844,164515.0156,0,0,0,951540,0,0,0,0,0,193493.8594,534155.25,400572.125,252438.2344,0,0,0,1380659.5,3940361.25
