Year,Distributed BESS,EE_Baseline,EE_Scenario_4,EE_Scenario_5,EE_Scenario_7,EE_Scenario_8,Embedded_DG,Incremental_DG
2026,1.08,69.32068991,0,0,0,0,451.3448226,221.093774
2027,2.24,183.6100443,0,0,0,0,318.7324931,176.3754456
2028,3.51,270.7985619,0,0,0,0,321.3125665,198.7719734
2029,4.87,360.8614108,0,0,0,0,325.3771875,221.701407
2030,6.32,450.6230304,0,0,0,0,329.6181985,245.8833688
2031,7.86,538.5469992,0,0,0,0,333.9935011,253.7798007
2032,9.41,623.7011466,0,0,0,0,338.3544745,261.7891325
2033,10.97,692.0538854,0,0,0,0,342.7138185,269.5447997
2034,12.54,768.2210369,0,0,0,0,347.0848309,277.0387077
2035,14.11,842.096866,0,0,0,0,351.4345378,284.6103
2036,15.69,913.2017585,0,0,0,0,355.7008204,292.0880831
2037,17.28,985.5334081,0,0,0,0,359.9269002,299.0646204
2038,18.87,1056.652885,0,0,0,0,364.1264358,306.321482
2039,20.48,1128.561286,0,0,0,0,368.2840752,313.2681903
2040,22.08,1197.113076,0,0,0,0,372.4170145,320.1797186
2041,23.7,1270.387184,0,0,0,0,376.5533644,326.9842763
2042,25.32,1340.87737,0,0,0,0,380.6829843,333.3499358
2043,26.95,1409.581767,0,0,0,0,384.7861307,340.166436
2044,28.59,1476.064212,0,0,0,0,388.8713501,346.6836207
2045,30.23,1546.365088,0,0,0,0,392.9266978,352.6579573
2046,30.23,1546.365088,0,0,0,0,392.9266978,352.6579573
2047,30.23,1546.365088,0,0,0,0,392.9266978,352.6579573
2048,30.23,1546.365088,0,0,0,0,392.9266978,352.6579573
2049,30.23,1546.365088,0,0,0,0,392.9266978,352.6579573
2050,30.23,1546.365088,0,0,0,0,392.9266978,352.6579573
