Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2026,1,1,3451.11294,3409.837759,3401.142296,3420.384634,3487.193493,3625.264544,3830.225923,4015.943175,4134.65588,4162.621906,4219.799994,4190.705122,4115.53803,3972.476698,3781.813115,3537.083076,3488.265335,3629.439159,3918.170938,3956.761508,3971.759025,3828.122853,3649.791325,3496.58433
2026,1,2,3591.09364,3558.729918,3564.623336,3622.265534,3774.706646,4077.463459,4466.08148,4640.808277,4615.0457,4509.801745,4505.547387,4448.29675,4358.040494,4187.122613,3989.176405,3727.227233,3577.703085,3622.611305,3857.875824,3936.01239,3994.120504,3885.2081,3760.574309,3623.110706
2026,1,3,3398.729764,3347.339908,3318.277353,3317.498622,3370.622171,3500.061645,3676.035864,3833.691395,4050.522732,4202.055658,4338.272018,4374.675162,4323.955022,4200.676846,4051.985414,3814.733157,3721.99955,3852.184083,4019.832689,4050.400949,4061.998041,3960.910485,3829.50908,3682.169327
2026,1,4,3536.488081,3497.909354,3489.996902,3512.433546,3588.495322,3734.192138,3947.870571,4176.135391,4263.983561,4283.797661,4333.83339,4308.022094,4241.111302,4091.784594,3908.177174,3680.053673,3590.76917,3751.506882,3991.207705,4030.883598,4052.717928,3914.300759,3732.568374,3577.990848
2026,1,5,3587.57807,3577.94947,3622.559438,3718.240477,3902.942537,4241.921134,4675.623376,4700.358305,4764.428421,4454.663459,4370.334488,3874.010592,3946.014459,3792.041116,3633.64342,3308.215956,3351.146905,3664.942661,3990.846735,4216.286031,4302.844378,4174.54184,4001.217904,3852.61512
2026,1,6,4266.467348,4269.97498,4307.866526,4406.032592,4615.157308,4808.810335,5087.577003,5266.280862,5168.175089,5157.394129,5111.314751,4982.95446,4812.528697,4554.21849,4270.513689,3936.344532,3750.703866,3861.796082,4189.356938,4360.592734,4372.215209,4301.676908,4199.428008,4090.992257
2026,1,7,3848.881364,3827.642498,3857.067635,3931.326754,4110.767786,4453.78422,4731.430408,4813.301396,4938.053799,4898.896377,4844.79335,4756.650121,4551.702358,4393.909557,4239.039865,3927.520745,3681.228627,3971.507131,4234.236947,4350.232324,4439.972441,4317.312381,4138.987314,3989.050484
2026,1,8,3940.10929,3925.661783,3962.40932,4044.478488,4234.026788,4590.320385,4776.180547,4954.235805,4846.785563,4839.520024,4626.473228,4524.44026,4419.226439,4279.712614,3917.079562,3693.067056,3683.063739,4008.662476,4284.212068,4415.237045,4519.455376,4407.822344,4235.204417,4092.931391
2026,1,9,3737.57067,3711.658612,3735.366556,3803.488791,3972.344523,4301.094136,4675.425668,4748.867449,4876.215851,4751.566787,4716.419569,4648.255473,4560.692032,4397.695936,4173.771443,3887.155075,3763.748288,3908.129676,4140.672104,4245.123038,4324.246141,4195.998254,4017.467037,3866.38656
2026,1,10,3696.068517,3647.362215,3614.021335,3609.08324,3665.043724,3809.722642,4017.332018,4200.336037,4432.186738,4587.987768,4729.031698,4779.952561,4727.099303,4580.124842,4397.878034,4175.932612,4077.065261,4257.57114,4475.448655,4544.646222,4588.285333,4502.757796,4365.99468,4212.531432
2026,1,11,3730.02284,3697.315512,3696.872679,3726.963311,3814.796952,3979.334806,4227.14,4440.102412,4521.624057,4494.189807,4503.439518,4439.705342,4341.747143,4168.831794,3957.432274,3707.442073,3633.043017,3845.555029,4172.761185,4221.04034,4253.179888,4118.44141,3931.855056,3777.59488
2026,1,12,3682.627905,3676.371902,3725.147791,3826.27466,4019.483392,4373.732346,4726.909227,4807.584689,4858.89871,4683.518439,4582.902034,4444.822317,4230.98178,4037.233999,3765.256877,3483.822953,3459.506951,3733.820824,4074.873557,4201.762751,4296.706671,4171.576798,3996.359451,3848.73892
2026,1,13,3588.484643,3556.203589,3571.124786,3628.015674,3782.929488,4092.00056,4508.033319,4745.952427,4693.430143,4557.37651,4541.799481,4481.286741,4398.014743,4254.249642,4057.685709,3785.049407,3667.333306,3810.4074,4035.916975,4121.499245,4184.444657,4044.305795,3861.325494,3701.742886
2026,1,14,3594.184859,3564.261314,3581.174021,3639.679793,3796.404622,4107.283308,4525.764113,4736.097592,4706.983888,4288.02532,4324.25461,4038.863454,4141.428767,4179.402894,3706.778392,3680.909432,3625.909674,3809.285518,4025.865353,4115.702626,4182.941194,4046.671891,3866.647215,3710.410566
2026,1,15,3543.909256,3506.15238,3515.23609,3566.44406,3714.831539,4016.646599,4427.449622,4661.296351,4623.711335,4505.046617,4506.680765,4464.772874,4399.335381,4260.591248,4072.641836,3812.476237,3689.463237,3816.653558,4029.044653,4102.115345,4153.752702,4004.370169,3815.252393,3648.20284
2026,1,16,3607.700511,3573.778091,3576.69013,3630.845784,3780.923773,4086.366974,4495.994794,4676.132342,4675.145929,4579.259291,4590.853152,4547.837084,4473.814826,4317.633316,4119.009703,3808.625293,3670.562807,3735.574709,3908.967535,3977.325852,4032.359108,3920.900798,3792.077844,3650.017555
2026,1,17,3377.941027,3330.632248,3301.303848,3298.480437,3350.474526,3482.829476,3675.701056,3868.687582,4027.210328,4124.940016,4292.374773,4330.441767,4144.690696,3995.350381,3933.61159,3670.300108,3577.794727,3818.022976,4011.72569,4049.942169,4070.535755,3975.994532,3847.578109,3703.868047
2026,1,18,3467.564864,3417.737441,3394.913133,3404.808067,3465.782072,3600.314956,3815.136005,4033.134551,4145.914951,4191.610709,4276.144536,4218.824608,4243.71469,4149.039458,3943.092044,3742.604327,3588.087311,3755.555822,3982.116949,4002.491565,4006.605829,3855.811693,3667.588923,3501.141232
2026,1,19,3485.61606,3448.456766,3441.979637,3462.687705,3532.670739,3679.202638,3911.375933,4181.465398,4098.168476,3904.304295,3876.498682,3789.746733,3651.586317,3569.522878,3412.759772,3428.003833,3419.41266,3706.937254,3940.817143,3981.050213,4000.677431,3861.170992,3684.06748,3533.773379
2026,1,20,3498.486877,3465.389575,3478.033882,3531.683722,3680.604581,3979.286868,4384.986543,4616.573363,4460.011046,4252.269787,4392.235492,4028.064138,3982.853509,4143.030102,3867.85081,3564.456929,3524.243929,3728.05504,3942.968317,4024.727374,4084.13688,3943.681678,3764.051764,3606.989939
2026,1,21,3487.65897,3447.653393,3454.016167,3502.275266,3646.436927,3940.623816,4343.763579,4584.088203,4584.36469,4495.93502,4520.119451,4499.928042,4451.546183,4324.226189,4147.336381,3889.074891,3724.433233,3820.392434,3980.569522,4049.052536,4095.554564,3943.3241,3754.484931,3587.141627
2026,1,22,3476.804767,3441.396049,3451.717159,3503.115385,3649.730863,3944.587127,4346.725646,4581.810628,4552.683376,4441.978472,4449.288215,4413.939265,4355.946852,4225.545223,4041.56036,3780.504859,3657.480914,3757.489151,3934.440319,4011.875703,4066.586133,3922.522817,3740.935524,3581.638932
2026,1,23,3518.414234,3479.29174,3478.224809,3527.598183,3670.449479,3962.476095,4358.743282,4573.379164,4507.933527,4378.121819,4390.558424,4434.074742,4345.251249,4161.201001,3989.280033,3843.200374,3694.656086,3731.585523,3859.384008,3917.282027,3965.063377,3848.763561,3718.02717,3574.287737
2026,1,24,3340.579691,3287.917517,3259.825348,3261.047582,3314.711401,3445.598273,3638.564819,3791.480753,3952.903279,4075.132198,4183.157266,4173.80392,4123.581015,3992.798161,3837.677733,3627.31793,3544.796601,3746.769245,3898.546948,3909.266148,3906.018782,3797.527279,3665.884282,3519.524891
2026,1,25,3334.847686,3282.227723,3255.764359,3262.039763,3316.91104,3440.946028,3642.11719,3845.698864,3908.665467,3905.68146,3891.385902,3993.191215,4114.27943,4007.497571,3850.850493,3623.448339,3517.98236,3630.141007,3847.428815,3864.300989,3863.355458,3711.963423,3528.783687,3365.832929
2026,1,26,3291.265393,3254.245557,3259.280224,3312.113572,3447.037372,3724.555892,4093.484642,4291.888833,4318.380613,4247.313561,4286.325257,4288.181511,4232.014083,4025.477955,3784.78536,3647.009504,3576.205125,3724.174695,3896.856535,3950.190732,3976.353457,3810.866675,3614.632875,3433.309231
2026,1,27,3289.207691,3243.352026,3242.730804,3282.368569,3412.014702,3681.666662,4052.506561,4267.029676,4208.402114,4088.991423,4097.306131,4037.533147,4043.628332,3965.54446,3800.676326,3630.821533,3542.913277,3633.874697,3798.533269,3853.888116,3887.092796,3728.06187,3541.382295,3374.06751
2026,1,28,3330.240474,3285.092088,3285.748456,3327.116966,3459.640742,3734.146971,4111.576179,4331.53786,4297.313541,4263.816392,4300.924898,4288.62846,4242.848175,4129.502485,3965.090886,3716.355144,3586.785158,3671.122064,3836.851163,3894.876385,3930.22712,3772.185296,3585.037572,3417.884406
2026,1,29,3350.890038,3306.141635,3307.377977,3349.671909,3483.663323,3760.430612,4141.296123,4365.273993,4283.234994,4188.466198,4297.009767,4283.572227,4239.560802,4130.409798,3971.527822,3723.371569,3598.416043,3686.486457,3856.349876,3915.756886,3952.051695,3794.483394,3607.07227,3440.025512
2026,1,30,3486.473095,3447.529194,3446.87748,3496.513692,3638.614896,3926.692997,4318.538812,4529.490702,4472.875179,4325.703527,4393.456503,4301.301301,4213.539717,4084.151166,3921.659058,3722.068049,3523.792196,3654.000114,3815.592399,3876.064802,3923.998992,3808.496226,3680.401127,3540.073524
2026,1,31,3338.494592,3288.947972,3260.111401,3259.357347,3312.076203,3441.490153,3633.213729,3788.581197,3943.971758,4017.373874,4089.54786,3930.999802,4152.602896,3712.993712,3849.655889,3695.2484,3628.99383,3772.21121,3946.913106,3981.383097,3996.050611,3898.263895,3771.655918,3631.454066
2026,2,1,3242.707247,3208.344516,3211.156578,3259.073933,3390.969514,3670.18817,4054.123506,4210.850387,4051.326132,3856.889019,3642.461764,3580.25624,3478.406946,3377.950382,3356.386921,3244.362917,3232.309751,3205.78131,3455.672032,3608.412387,3669.125271,3550.953544,3354.487029,3142.006688
2026,2,2,3348.139631,3303.731042,3306.182695,3353.589399,3487.825801,3774.785937,4167.263628,4296.77806,4271.62834,4251.531203,4192.788221,4140.626296,4000.971342,3928.217273,3762.49603,3560.594293,3324.085276,3316.747355,3537.569705,3717.277183,3796.685631,3657.327566,3453.55487,3233.685411
2026,2,3,3275.432274,3232.374443,3233.386891,3276.829853,3402.125629,3675.666084,4061.602769,4259.674732,4197.254752,4137.642907,4149.602093,4188.604185,4104.725494,4027.272333,3831.842572,3672.89359,3491.329831,3558.85222,3783.887641,3920.349319,3972.423829,3825.320555,3643.029227,3468.714983
2026,2,4,3302.234587,3252.804823,3248.591619,3288.283627,3410.91442,3684.619133,4074.387922,4269.410942,4273.791372,4260.714493,4344.960222,4344.279852,4310.299031,4207.109341,4043.442223,3804.324622,3667.899424,3677.990375,3859.547342,3985.874663,4026.916177,3868.316239,3675.523466,3490.52057
2026,2,5,3336.001399,3284.178912,3278.42994,3317.726764,3440.775243,3717.38753,4112.550575,4337.298321,4366.11748,4361.147765,4450.806023,4456.448023,4424.672579,4323.950834,4153.785332,3912.13156,3769.133196,3768.145497,3912.909048,4036.799346,4074.527788,3911.696012,3714.204006,3524.576876
2026,2,6,3468.667279,3421.919655,3424.524547,3474.933313,3615.142471,3914.042404,4325.363991,4539.065964,4491.253025,4470.714634,4405.25996,4413.63301,4356.646865,4243.462071,4064.69973,3806.844037,3532.330323,3490.433577,3665.947366,3850.873933,3930.984954,3788.170218,3576.620578,3349.003658
2026,2,7,3477.15152,3438.520344,3441.668676,3495.227702,3638.683647,3941.375206,4361.646955,4534.683517,4339.958858,4228.594004,4025.056783,4009.020569,3676.697621,3831.466042,4050.525366,3522.953959,3394.760467,3457.199566,3705.702939,3868.449257,3930.786811,3805.990816,3594.208734,3366.200987
2026,2,8,3596.482092,3555.947025,3559.275762,3615.526548,3764.760213,4079.671473,4518.384395,4741.06638,4693.314881,4668.065254,4585.455405,4598.24454,4544.734891,4431.285276,4241.711877,3977.126636,3693.378485,3647.651113,3833.250517,4000.863851,4064.253751,3936.223061,3716.472431,3480.161518
2026,2,9,3736.762661,3685.617965,3688.611601,3745.152083,3898.365699,4224.613981,4677.504729,4907.141295,4852.677069,4820.120621,4732.671121,4730.805076,4668.928095,4547.527563,4358.936837,4086.367074,3794.434794,3756.200235,3952.368427,4236.081935,4319.596592,4170.429278,3941.31174,3690.635466
