Year,Value
2024,55716.15
2025,55716.15
2026,54827.063
2027,53937.975
2028,53937.975
2029,53937.975
2030,53937.975
2031,51712.5625
2032,40585.5
2033,40585.5
2034,40585.5
2035,40585.5
2036,40585.5
2037,40585.5
2038,40585.5
2039,0
2040,0
2041,0
2042,0
2043,0
2044,0
2045,0
2046,0
2047,0
2048,0
2049,0
2050,0
2051,0
2052,0
2053,0
