Year,Month,AZGAS EP PHX/Yuma,AZGAS TW PHX,MKTGas,NewGas,SJ Gas,WALCTollGas EP Griffith,WALCTollGas TW Griffith,WALCTollGas EP South Point,WALCTollGas TW South Point,PermianNewGas EP PHX/Yuma,PermianNewGas TW PHX,FC45_Coal,FC45_Coal_LD
2053,8,4.85,4.85,4.85,4.88,4.88,4.85,4.85,4.85,4.85,4.69,4.69,0,0
2053,9,4.84,4.84,4.84,4.88,4.88,4.84,4.84,4.84,4.84,4.68,4.68,0,0
2053,10,4.88,4.88,4.88,4.9,4.9,4.88,4.88,4.88,4.88,4.78,4.78,0,0
2053,11,5.89,5.89,5.89,5.96,5.96,5.89,5.89,5.89,5.89,5.62,5.62,0,0
2053,12,6.43,6.43,6.43,6.49,6.49,6.43,6.43,6.43,6.43,6.17,6.17,0,0
2054,1,7.4,7.4,7.4,7.6,7.6,7.4,7.4,7.4,7.4,6.59,6.59,0,0
2054,2,6.9,6.9,6.9,7.07,7.07,6.9,6.9,6.9,6.9,6.2,6.2,0,0
2054,3,6.18,6.18,6.18,6.36,6.36,6.18,6.18,6.18,6.18,5.46,5.46,0,0
2054,4,4.71,4.71,4.71,4.74,4.74,4.71,4.71,4.71,4.71,4.62,4.62,0,0
2054,5,4.67,4.67,4.67,4.69,4.69,4.67,4.67,4.67,4.67,4.6,4.6,0,0
2054,6,4.74,4.74,4.74,4.76,4.76,4.74,4.74,4.74,4.74,4.64,4.64,0,0
2054,7,4.87,4.87,4.87,4.91,4.91,4.87,4.87,4.87,4.87,4.72,4.72,0,0
2054,8,4.96,4.96,4.96,5,5,4.96,4.96,4.96,4.96,4.8,4.8,0,0
2054,9,4.96,4.96,4.96,5,5,4.96,4.96,4.96,4.96,4.79,4.79,0,0
2054,10,5,5,5,5.02,5.02,5,5,5,5,4.9,4.9,0,0
2054,11,6.03,6.03,6.03,6.1,6.1,6.03,6.03,6.03,6.03,5.75,5.75,0,0
2054,12,6.58,6.58,6.58,6.65,6.65,6.58,6.58,6.58,6.58,6.32,6.32,0,0
2055,1,7.58,7.58,7.58,7.78,7.78,7.58,7.58,7.58,7.58,6.75,6.75,0,0
2055,2,7.06,7.06,7.06,7.24,7.24,7.06,7.06,7.06,7.06,6.35,6.35,0,0
2055,3,6.33,6.33,6.33,6.51,6.51,6.33,6.33,6.33,6.33,5.59,5.59,0,0
2055,4,4.83,4.83,4.83,4.85,4.85,4.83,4.83,4.83,4.83,4.73,4.73,0,0
2055,5,4.78,4.78,4.78,4.8,4.8,4.78,4.78,4.78,4.78,4.71,4.71,0,0
2055,6,4.85,4.85,4.85,4.88,4.88,4.85,4.85,4.85,4.85,4.75,4.75,0,0
2055,7,4.99,4.99,4.99,5.03,5.03,4.99,4.99,4.99,4.99,4.83,4.83,0,0
2055,8,5.08,5.08,5.08,5.12,5.12,5.08,5.08,5.08,5.08,4.92,4.92,0,0
2055,9,5.08,5.08,5.08,5.12,5.12,5.08,5.08,5.08,5.08,4.91,4.91,0,0
2055,10,5.11,5.11,5.11,5.14,5.14,5.11,5.11,5.11,5.11,5.01,5.01,0,0
2055,11,6.17,6.17,6.17,6.24,6.24,6.17,6.17,6.17,6.17,5.89,5.89,0,0
2055,12,6.74,6.74,6.74,6.81,6.81,6.74,6.74,6.74,6.74,6.47,6.47,0,0
